customer_id,join_date,seed_segment,gender,age,loyalty_channel
C0001,2024-05-31,Morning commuter,F,41,App
C0002,2023-05-22,Morning commuter,F,31,Card
C0003,2023-06-07,Student value seeker,M,47,Cash-linked
C0004,2023-08-26,Family stock-up,M,33,App
C0005,2024-03-28,Morning commuter,M,51,Card
C0006,2023-12-17,Student value seeker,M,22,App
C0007,2023-06-27,Student value seeker,F,39,App
C0008,2023-07-21,Student value seeker,F,22,Cash-linked
C0009,2024-01-16,Family stock-up,M,49,Cash-linked
C0010,2023-08-23,Morning commuter,F,35,Card
C0011,2024-09-27,Morning commuter,M,54,Cash-linked
C0012,2023-09-03,Family stock-up,M,40,App
C0013,2023-08-18,Family stock-up,F,25,Card
C0014,2024-10-03,Lunch office,M,26,Cash-linked
C0015,2024-03-24,Student value seeker,M,49,App
C0016,2024-06-15,Student value seeker,M,53,Card
C0017,2024-07-15,Student value seeker,M,44,Card
C0018,2023-11-09,Lunch office,F,23,App
C0019,2024-07-01,Lunch office,F,18,Card
C0020,2024-05-30,Family stock-up,M,18,App
C0021,2023-09-30,Healthy routine,M,54,Card
C0022,2024-07-27,Healthy routine,F,47,Cash-linked
C0023,2023-10-28,Student value seeker,M,43,App
C0024,2023-07-28,Student value seeker,F,30,App
C0025,2024-05-03,Student value seeker,F,25,Card
C0026,2024-10-10,Morning commuter,F,54,App
C0027,2023-06-02,Morning commuter,M,19,App
C0028,2024-05-04,Healthy routine,M,27,Cash-linked
C0029,2024-03-19,Family stock-up,M,48,App
C0030,2024-08-06,Student value seeker,M,48,Card
C0031,2024-01-18,Morning commuter,F,24,Cash-linked
C0032,2023-12-18,Family stock-up,M,28,Cash-linked
C0033,2024-11-09,Lunch office,M,27,Cash-linked
C0034,2023-05-26,Morning commuter,M,23,Cash-linked
C0035,2024-03-10,Healthy routine,M,28,Card
C0036,2024-04-18,Healthy routine,M,32,Cash-linked
C0037,2024-05-17,Lunch office,M,32,App
C0038,2023-06-21,Student value seeker,M,19,App
C0039,2024-02-20,Student value seeker,M,30,Cash-linked
C0040,2023-12-16,Student value seeker,M,41,App
C0041,2024-04-21,Morning commuter,F,48,App
C0042,2023-12-23,Lunch office,M,18,Card
C0043,2023-12-16,Morning commuter,F,42,Cash-linked
C0044,2024-05-12,Student value seeker,F,45,Cash-linked
C0045,2023-12-28,Morning commuter,M,47,Card
C0046,2024-09-07,Lunch office,F,26,App
C0047,2024-07-01,Healthy routine,M,27,Cash-linked
C0048,2023-08-05,Family stock-up,F,53,Cash-linked
C0049,2024-07-21,Morning commuter,F,24,Cash-linked
C0050,2024-07-13,Student value seeker,F,31,App
C0051,2024-03-20,Lunch office,M,50,App
C0052,2024-01-04,Family stock-up,M,26,App
C0053,2023-12-06,Student value seeker,M,50,App
C0054,2023-06-07,Lunch office,F,46,App
C0055,2024-11-28,Lunch office,F,27,Card
C0056,2024-08-01,Healthy routine,F,38,Cash-linked
