product_code,product_name,category_code,category_name,base_price,brand_type,margin_band
SNK001,Potato Chips Sea Salt,SNK,Snacks,3800,Import,A
SNK002,Corn Chips Spicy,SNK,Snacks,4200,Import,C
SNK003,Protein Bar,SNK,Snacks,5200,Local,A
SNK004,Chocolate Wafer,SNK,Snacks,2800,Local,B
BEV001,Cola 500ml,BEV,Beverage,2500,Local,C
BEV002,Sparkling Water,BEV,Beverage,1800,Local,A
BEV003,Iced Coffee,BEV,Beverage,4200,Local,B
BEV004,Green Tea Bottle,BEV,Beverage,2600,Import,A
RTE001,Chicken Sandwich,RTE,ReadyToEat,6500,Local,A
RTE002,Tuna Kimbap,RTE,ReadyToEat,7200,Import,A
RTE003,Beef Onigiri,RTE,ReadyToEat,4800,Local,A
RTE004,Pasta Box,RTE,ReadyToEat,8600,Local,C
DES001,Yogurt Cup,DES,Dessert,3100,Import,A
DES002,Cheesecake Slice,DES,Dessert,5900,Local,A
DES003,Ice Cream Bar,DES,Dessert,3500,Local,B
HOU001,Wet Wipes,HOU,Household,2900,Import,A
HOU002,Tissue Pack,HOU,Household,2300,Local,C
HOU003,Batteries AA,HOU,Household,6900,Import,C
