transaction_id,transaction_ts,sales_date,branch_id,customer_id,payment_method,basket_amount
T0000001,2025-01-01 10:34:15,2025-01-01,B02,C0086,cash,7200
T0000002,2025-01-01 18:31:46,2025-01-01,B01,C0026,wallet,14300
T0000003,2025-01-01 11:05:56,2025-01-01,B02,C0039,card,4800
T0000004,2025-01-01 07:02:00,2025-01-01,B05,,card,18700
T0000005,2025-01-01 07:44:34,2025-01-01,B04,C0055,wallet,19800
T0000006,2025-01-01 13:17:11,2025-01-01,B05,C0032,cash,17000
T0000007,2025-01-01 14:48:19,2025-01-01,B01,,cash,10100
T0000008,2025-01-01 20:58:35,2025-01-01,B05,C0089,cash,16900
T0000009,2025-01-01 07:42:28,2025-01-01,B03,C0068,wallet,7600
T0000010,2025-01-01 08:21:19,2025-01-01,B05,C0077,cash,18100
T0000011,2025-01-01 21:07:45,2025-01-01,B02,C0089,cash,13100
T0000012,2025-01-01 21:58:24,2025-01-01,B06,C0005,wallet,3300
T0000013,2025-01-01 18:34:23,2025-01-01,B04,,cash,2700
T0000014,2025-01-01 10:40:12,2025-01-01,B03,C0062,cash,17600
T0000015,2025-01-01 10:48:04,2025-01-01,B03,C0058,wallet,12800
T0000016,2025-01-01 11:27:10,2025-01-01,B02,,cash,15600
T0000017,2025-01-01 12:17:28,2025-01-01,B06,C0065,wallet,20200
T0000018,2025-01-01 14:43:06,2025-01-01,B04,C0079,card,11900
T0000019,2025-01-01 22:47:03,2025-01-01,B04,C0006,card,13600
T0000020,2025-01-01 18:45:25,2025-01-01,B01,C0090,cash,12000
T0000021,2025-01-01 21:40:25,2025-01-01,B01,C0018,wallet,10500
T0000022,2025-01-01 07:05:12,2025-01-01,B01,,wallet,36600
T0000023,2025-01-01 12:10:00,2025-01-01,B03,,wallet,17200
T0000024,2025-01-01 16:43:09,2025-01-01,B01,C0088,wallet,17800
T0000025,2025-01-01 16:09:58,2025-01-01,B01,C0052,wallet,3100
