line_id,transaction_id,product_code,qty,unit_price,discount_amt,line_amount
L00000001,T0000001,BEV003,1,4000,200,3800
L00000002,T0000001,DES003,1,3700,300,3400
L00000003,T0000002,BEV002,1,1600,300,1300
L00000004,T0000002,DES003,1,3500,300,3200
L00000005,T0000002,BEV003,1,4200,300,3900
L00000006,T0000002,DES002,1,5900,0,5900
L00000007,T0000003,RTE003,1,4800,0,4800
L00000008,T0000004,RTE001,1,6500,500,6000
L00000009,T0000004,BEV003,3,4300,200,12700
L00000010,T0000005,SNK002,1,4400,0,4400
L00000011,T0000005,RTE001,1,6600,0,6600
L00000012,T0000005,DES003,1,3700,0,3700
L00000013,T0000005,BEV004,2,2700,300,5100
L00000014,T0000006,HOU003,1,6700,0,6700
L00000015,T0000006,DES003,1,3300,0,3300
L00000016,T0000006,DES003,2,3500,0,7000
L00000017,T0000007,HOU002,3,2300,300,6600
L00000018,T0000007,DES003,1,3700,200,3500
L00000019,T0000008,SNK001,1,3900,0,3900
L00000020,T0000008,RTE001,2,6500,0,13000
L00000021,T0000009,BEV001,1,2700,0,2700
L00000022,T0000009,SNK004,2,2600,300,4900
L00000023,T0000010,RTE001,1,6500,300,6200
L00000024,T0000010,HOU001,1,3000,300,2700
L00000025,T0000010,BEV004,1,2700,0,2700
L00000026,T0000010,HOU003,1,6700,200,6500
L00000027,T0000011,RTE002,1,7400,300,7100
L00000028,T0000011,DES001,2,3100,200,6000
L00000029,T0000012,SNK001,1,3800,500,3300
L00000030,T0000013,HOU001,1,3000,300,2700
L00000031,T0000014,SNK003,1,5000,0,5000
L00000032,T0000014,DES003,2,3700,0,7400
L00000033,T0000014,HOU001,2,2700,200,5200
L00000034,T0000015,SNK001,1,3800,0,3800
L00000035,T0000015,HOU003,1,7100,200,6900
L00000036,T0000015,HOU002,1,2300,200,2100
L00000037,T0000016,RTE004,1,8400,0,8400
L00000038,T0000016,RTE002,1,7200,0,7200
L00000039,T0000017,RTE003,1,4800,300,4500
L00000040,T0000017,SNK001,1,3800,0,3800
L00000041,T0000017,BEV002,2,1800,0,3600
L00000042,T0000017,SNK002,2,4400,500,8300
L00000043,T0000018,RTE004,1,8400,0,8400
L00000044,T0000018,SNK001,1,3800,300,3500
L00000045,T0000019,DES003,2,3500,0,7000
L00000046,T0000019,HOU002,1,2300,0,2300
L00000047,T0000019,HOU002,2,2300,300,4300
L00000048,T0000020,SNK001,1,3900,0,3900
L00000049,T0000020,RTE004,1,8600,500,8100
L00000050,T0000021,SNK001,1,3800,200,3600
L00000051,T0000021,HOU003,1,6900,0,6900
L00000052,T0000022,SNK002,1,4000,0,4000
L00000053,T0000022,SNK003,3,5400,300,15900
L00000054,T0000022,RTE004,2,8600,500,16700
